title,count
资深结构工程师,8
Sr. Product Manager,8
高级销售总监,8
策划副总监,8
BI 工程师,8
行政专员/助理,8
增长策略运营,8
自动化测试,8
前端 leader,8
高级记者,8
主任,8
市场营销实习生,8
人事行政总监,8
销售顾问,8
主任设计师,8
结构工程师助理,8
爬虫工程师,8
资深科学家,8
产品设计负责人,8
资深总监,8
风控,8
财务总监／VP,8
大前端负责人,8
硬件负责人,8
iOS 技术主管,8
品牌专员,8
策略产品实习生,8
运营实习生,8
高级研发总监,8
AI 算法专家,8
高级增长产品专家,8
品类运营,8
UI Designer,8
海外市场营销,8
AI 用户型产品经理,8
供应链产品经理,8
资深研究员,7
AI 技术总监,7
高级开发经理／测试团队负责人,7
小艺 Agent 平台首席架构师,7
华东公共关系负责人,7
AI Algorithm Engineer,7
硬件系统工程师,7
Android 测试开发工程师（实习）,7
算法研发工程师,7
AI 产品实习,7
QA,7
院长科研助理,7
市场营销总监,7
中国区财务副经理,7
嵌入式硬件工程师,7
资深系统工程师,7
KOL 运营,7
PE 工程师,7
大数据部门负责人,7
猎头,7
Growth 负责人,7
流量转化增长策略产品专家,7
内容策略运营,7
数据/Python 后端,7
数据/Java 后端,7
战略实习生,7
数据开发/Go 后端,7
Architect,7
投资者关系总监,7
Business Director,7
iOS 架构师,7
市场营销主管,7
Software Architect,7
供应链高级总监,7
运动控制工程师,7
创始人兼总经理,7
全栈（偏前端）,7
ai 前端,7
AI 产品策划,7
Solution Architect,7
网站编辑,7
软件高级工程师,7
人力资源总监 HRD,7
政府事务副总裁,7
前端主管,7
资深算法工程师/AI 负责人,7
AI 技术负责人,7
商务专员,7
薪酬福利专员,7
高级 Java 开发,7
结构设计主管,7
新媒体主管,7
商业产品运营,7
AI 研究总监、基础模型实验室负责人、集团共性技术大模型方向负责人,7
搜索产品运营,7
终身轨助理教授、智能医疗影像实验室主管,7
项目高级经理,7
推荐算法 Tech Lead,7
高级用户研究员,7
推荐算法资深专家,7
后端负责人,7
系统研发工程师,7
搜索算法工程师,7
嵌入式开发,7
Production Manager,7
具身智能算法实习生,7
首席营销官（CMO）,7
记者／采编,7
记者／编辑,7
客户端开发,7
品牌副总监,7
Adjunct Faculty,7
Regional Sales Manager,7
主任科员,7
数据专家,7
市场公关经理,7
分公司总经理,7
工业工程师,7
iOS 项目的开发人员,7
iOS 软件工程师,7
手机结构工程师,7
产品一号位,7
Ai 产品经理,7
猎头顾问助理,7
